Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4839,0.987251408,0.123624091,0,0,1
4840,0.987251408,0.141980455,0,0,1
4841,0.958284668,0.170213636,0,0,1
4842,0.735181042,0.232004091,0,0,1
4843,0.147913285,0.50249,0,0,1
4844,0,0.775255909,0,0,1
4845,0,0.848711818,0,0,1
4846,0,0.910116818,0,0,1
4847,0,0.905870455,0,0,1
4848,0,0.871459091,0,0,1
4849,0,0.78001,0,0,1
4850,0,0.745960909,0,0,1
4851,0,0.604530455,0,0,1
4852,0,0.474161364,0,0,1
4853,0,0.406415909,0,0,1
4854,0.123282586,0.328388636,0,0,1
4855,0.713288112,0.275860455,0,0,1
4856,0.947338922,0.136045455,0,0,1
4857,0.987251408,0.046511364,0,0,1
4858,0.987251408,0.014526364,0,0,1
4859,0.987251408,0.030468636,0,0,1
4860,0.987251408,0.043021364,0,0,1
4861,0.987251408,0.060958182,0,0,1
4862,0.987251408,0.083853636,0,0,1
4863,0.987251408,0.073058636,0,0,1
4864,0.987251408,0.053900909,0,0,1
4865,0.948446852,0.061330455,0,0,1
4866,0.711346637,0.082835,0,0,1
4867,0.131452602,0.262566364,0,0,1
4868,0,0.675244545,0,0,1
4869,0,0.866645455,0,0,1
4870,0,0.895256364,0,0,1
4871,0,0.895908636,0,0,1
4872,0,0.849500909,0,0,1
4873,0,0.792492727,0,0,1
4874,0,0.743163636,0,0,1
4875,0,0.726343182,0,0,1
4876,0,0.717558636,0,0,1
4877,0,0.691060909,0,0,1
4878,0.107082558,0.614316364,0,0,1
4879,0.660123166,0.522649545,0,0,1
4880,0.888204721,0.311040455,0,0,1
4881,0.987251408,0.141402727,0,0,1
4882,0.987251408,0.064797727,0,0,1
4883,0.987251408,0.066596364,0,0,1
4884,0.987251408,0.085509091,0,0,1
4885,0.987251408,0.105733636,0,0,1
4886,0.987251408,0.101555,0,0,1
4887,0.987251408,0.241605455,0,0,1
4888,0.987251408,0.402034545,0,0,1
4889,0.962670037,0.556304545,0,0,1
4890,0.721732777,0.748123182,0,0,1
4891,0.139221183,0.887322273,0,0,1
4892,0,0.911572273,0,0,1
4893,0,0.895387727,0,0,1
4894,0,0.880840909,0,0,1
4895,0,0.874990455,0,0,1
4896,0,0.874983182,0,0,1
4897,0,0.863255,0,0,1
4898,0,0.848719545,0,0,1
4899,0,0.843195455,0,0,1
4900,0,0.846644091,0,0,1
4901,0,0.859352273,0,0,1
4902,0.08674147,0.872781364,0,0,1
4903,0.575658731,0.896734091,0,0,1
4904,0.711713328,0.908356364,0,0,1
4905,0.844387061,0.890816364,0,0,1
4906,0.896196918,0.646995455,0,0,1
4907,0.867828474,0.392199091,0,0,1
4908,0.912372705,0.168300909,0,0,1
4909,0.987251408,0.173443182,0,0,1
4910,0.987251408,0.265875909,0,0,1
4911,0.987251408,0.318288636,0,0,1
4912,0.987251408,0.507685909,0,0,1
4913,0.907259279,0.632260455,0,0,1
4914,0.626797948,0.721703636,0,0,1
4915,0.091239162,0.841793182,0,0,1
4916,0,0.910946818,0,0,1
4917,0,0.908948636,0,0,1
